trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,repeat_index,phase_mode,kp,ki,kd,desired_output,frequency_khz,test_invalid,test_note,strict_bad_rate,oscillation_rate,failure_categories,repeat_score_regression_pct,repeat_cancellation_decision,start_error,track_error,deviation,max_error,overshoot_pct,settling_time_s,rise_time_s,steady_state_error,iae,ise,itae,peak_value,peak_time_s,time_in_tolerance_s,time_to_first_tolerance_s,post_settle_variance,early_slope,oscillation_count,area_above_target,area_below_target,trace_duration_s,hold_duration_s,hold_mean_error,hold_variance,hold_drift,hold_time_in_tolerance_ratio,hold_oscillation_count,hold_quality,early_mean_error,early_max_error
13,bootstrap,13,13,0,0,3,warmup,0.27749999999999997,0.031625000000000014,0.08070625000000001,400.0,10,0,,0.5357142857142857,0.0,,-52.603707183038125,,17.329999999999984,5.306666666666662,4.714483328764584,17.329999999999984,0.16750000000000398,0.0,0.0,-3.295555555555552,59.038499999999935,536.7920849999992,273.1706999999996,400.67,1.5,11.7,0.0,22.226353057199194,1.6666666666666667,0.0,0.29999999999999993,58.73849999999993,11.4,3.9000000000000012,-3.537692307692282,1.7862792899408246,0.8554761904761108,1.0,0.0,3.642331601230887,9.475714285714284,17.329999999999984
14,bootstrap,14,14,0,0,1,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,0,,0.2857142857142857,0.0,,0.0,,26.0,12.751282051282047,14.827472746914307,29.0,3.417500000000004,6.3,0.0,-2.6288888888888664,145.24049999999994,2985.4490849999984,610.3952999999997,413.67,5.1,8.399999999999999,0.3,53.14531728395061,-0.3722222222222311,8.0,35.798999999999985,109.44149999999996,11.4,3.9000000000000012,-3.3584615384615404,12.715274556212968,2.531666666666638,1.0,0.0,5.251145335928277,17.285714285714285,28.0
14,bootstrap,14,14,0,0,2,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,0,,0.32142857142857145,0.0,,0.0,,23.329999999999984,4.683333333333331,5.5160163068500685,23.329999999999984,0.417500000000004,0.8999999999999999,0.0,-0.5933333333333621,51.09599999999998,501.6233999999998,187.20989999999992,401.67,8.4,11.100000000000001,0.3,14.086707098765432,5.738888888888881,0.0,1.3994999999999982,49.69649999999998,11.4,3.9000000000000012,-0.9746153846153902,4.671840236686378,1.5947619047618673,1.0,0.0,2.409719261023004,10.714285714285714,23.329999999999984
14,bootstrap,14,14,0,0,3,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,0,,0.21428571428571427,0.0,,-46.65038856306871,,15.329999999999984,4.351025641025644,5.3447863343537705,15.329999999999984,0.8324999999999961,0.0,0.0,-1.1122222222222717,48.50700000000003,412.8234000000002,190.46430000000024,403.33,2.1,11.7,0.0,28.566740959894812,1.4777777777777603,0.0,7.199999999999999,41.30700000000003,11.4,3.9000000000000012,-1.2576923076923094,3.4908639053254493,0.5552380952380531,1.0,0.0,2.085676203423066,8.428571428571429,15.329999999999984
15,bootstrap,15,15,0,0,1,warmup,0.27749999999999997,0.0,0.05,400.0,10,0,,1.0,0.0,,0.0,,8.0,6.83794871794872,1.586971279993435,10.0,0.0,0.0,nan,-7.296666666666681,77.50350000000002,555.6541050000002,455.01030000000026,396.33,0.8999999999999999,11.7,0.0,2.518477843524001,-0.18333333333332452,0.0,0.0,77.50350000000002,11.4,3.9000000000000012,-7.180000000000007,2.3176923076923055,1.1576190476190504,1.0,0.0,6.580305590650545,6.761428571428569,9.329999999999984
15,bootstrap,15,15,0,0,2,warmup,0.27749999999999997,0.0,0.05,400.0,10,0,,1.0,0.0,,0.0,,13.329999999999984,9.076923076923077,1.7895754457787219,13.329999999999984,0.0,0.0,nan,-10.48111111111109,102.8505,962.6360850000001,620.2395,396.33,0.3,11.7,0.0,3.202580276134111,4.072222222222214,0.0,0.0,102.8505,11.4,3.9000000000000012,-10.179230769230742,1.018653254437868,0.8497619047619196,1.0,0.0,8.457725558811763,8.285714285714286,13.329999999999984
15,bootstrap,15,15,0,0,3,warmup,0.27749999999999997,0.0,0.05,400.0,10,0,,1.0,0.0,severe_score_regression,59.98994129517279,,20.0,13.367179487179486,3.312344393030525,20.0,0.0,0.0,0.0,-15.370000000000005,151.0965,2123.6900849999993,916.6976999999998,398.33,0.3,11.7,0.0,10.971625378040757,2.9611111111111024,0.0,0.0,151.0965,11.4,3.9000000000000012,-15.024615384615345,0.6754710059171641,1.2869047619047933,1.0,0.0,12.161986039847681,11.952857142857145,20.0
16,bootstrap,16,16,0,0,1,warmup,0.27749999999999997,0.12374375000000001,0.05,400.0,10,0,,0.03571428571428571,0.0,,0.0,,26.329999999999984,2.8546153846153843,5.6720956126508675,26.329999999999984,1.25,0.3,0.0,0.591111111111104,29.4,303.91139999999973,104.23620000000008,405.0,9.9,11.400000000000002,0.3,16.556183102493065,10.555555555555557,0.0,7.051500000000006,22.348499999999994,11.4,3.9000000000000012,0.7684615384615086,4.677336094674574,0.7395238095238597,1.0,0.0,1.9350250735686982,9.379999999999995,26.329999999999984
16,bootstrap,16,16,0,0,2,warmup,0.27749999999999997,0.12374375000000001,0.05,400.0,10,0,,0.0,0.0,,0.0,,19.0,2.162307692307692,3.9071089308129934,19.0,0.75,0.0,0.0,0.3311111111110563,22.348499999999987,137.32609499999992,79.08660000000002,403.0,3.9,11.7,0.0,15.265500197238653,8.15000000000001,0.0,6.4979999999999905,15.850499999999998,11.4,3.9000000000000012,0.22999999999996135,1.0669384615384643,0.11452380952380281,1.0,0.0,0.7319099949384895,6.235714285714274,19.0
16,bootstrap,16,16,0,0,3,warmup,0.27749999999999997,0.12374375000000001,0.05,400.0,10,0,,0.03571428571428571,0.0,,-8.487288875116164,,12.670000000000016,2.3243589743589723,3.120840764007869,12.670000000000016,1.0,0.0,0.0,-0.2599999999999909,25.04399999999997,98.35373999999987,144.69299999999984,404.0,8.1,11.7,0.0,9.739647074293218,5.188888888888907,0.0,8.495999999999981,16.54799999999999,11.4,3.9000000000000012,-0.026153846153874838,9.166331360946726,0.8719047619047728,1.0,0.0,1.8603771601666559,4.284285714285708,12.670000000000016
