trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,test_index,sample_index,time_s,current_power,desired_output,kp,ki,kd,test_invalid,test_note
3,bootstrap,3,3,0,0,3,9,2.4,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,10,2.6999999999999997,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,11,3.0,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,12,3.3,399.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,13,3.5999999999999996,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,14,3.9,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,15,4.2,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,16,4.5,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,17,4.8,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,18,5.1,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,19,5.3999999999999995,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,20,5.7,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,21,6.0,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,22,6.3,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,23,6.6,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,24,6.8999999999999995,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,25,7.199999999999999,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,26,7.5,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,27,7.8,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,28,8.1,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,29,8.4,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,30,8.7,401.33,400.0,0.016124999999999973,0.14,0.05,0,
